Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jan 1, 2026 12:00 AM;Jan 1, 2026 1:00 AM;58.28;76.72;77.78;58.28;58.27;75.19;63.44;63.68;88.04;99.86;40.47;107.41;111.55;-;110.00;93.48;98.80
Jan 1, 2026 1:00 AM;Jan 1, 2026 2:00 AM;42.40;70.45;69.13;42.40;42.39;68.89;64.96;60.24;85.09;86.08;34.01;106.00;115.77;-;109.00;90.32;95.02
Jan 1, 2026 2:00 AM;Jan 1, 2026 3:00 AM;19.57;62.58;61.61;19.57;19.57;60.40;55.29;59.36;80.29;86.94;18.46;102.00;124.93;-;108.19;85.74;89.79
Jan 1, 2026 3:00 AM;Jan 1, 2026 4:00 AM;6.29;49.09;44.88;6.29;6.29;43.94;40.46;54.62;64.41;70.26;6.34;101.00;101.54;-;105.10;70.16;77.11
Jan 1, 2026 4:00 AM;Jan 1, 2026 5:00 AM;3.09;37.64;28.31;3.83;3.83;29.08;24.93;47.77;51.22;31.73;3.93;101.00;88.40;-;98.92;58.78;69.14
Jan 1, 2026 5:00 AM;Jan 1, 2026 6:00 AM;0.83;36.63;22.51;2.55;2.56;24.00;19.07;44.78;63.15;34.85;2.71;103.20;83.61;-;98.76;62.92;69.34
Jan 1, 2026 6:00 AM;Jan 1, 2026 7:00 AM;0.05;32.54;20.01;2.81;2.82;20.68;5.99;37.61;47.88;22.13;2.96;106.80;88.20;-;105.10;58.48;75.14
Jan 1, 2026 7:00 AM;Jan 1, 2026 8:00 AM;0.02;34.97;27.35;2.86;2.86;32.76;15.00;42.01;61.99;0.17;3.04;108.39;88.20;-;109.99;63.73;68.38
Jan 1, 2026 8:00 AM;Jan 1, 2026 9:00 AM;0.06;30.79;25.49;3.22;3.23;24.63;21.10;43.51;44.26;-2.35;3.46;110.10;62.10;-;105.10;44.52;45.38
Jan 1, 2026 9:00 AM;Jan 1, 2026 10:00 AM;0.00;31.89;35.61;3.77;3.77;32.20;30.40;51.40;34.18;-0.18;4.07;106.68;48.85;-;104.28;36.06;35.98
Jan 1, 2026 10:00 AM;Jan 1, 2026 11:00 AM;0.00;28.27;30.01;4.34;4.35;26.77;27.81;52.07;26.18;-0.19;4.66;100.00;34.99;-;96.34;27.28;26.86
Jan 1, 2026 11:00 AM;Jan 1, 2026 12:00 PM;0.00;29.07;29.12;4.90;4.91;25.54;35.00;55.77;26.41;-0.10;5.27;95.08;37.87;-;97.61;27.83;27.70
Jan 1, 2026 12:00 PM;Jan 1, 2026 1:00 PM;-0.01;33.47;42.60;5.09;5.10;28.49;51.34;61.16;26.61;1.19;5.51;95.05;46.04;-;99.06;29.07;29.52
Jan 1, 2026 1:00 PM;Jan 1, 2026 2:00 PM;-0.01;34.37;31.66;6.54;6.54;27.40;43.47;60.37;33.73;12.07;6.87;93.65;55.82;-;92.76;36.30;37.53
Jan 1, 2026 2:00 PM;Jan 1, 2026 3:00 PM;0.02;41.93;41.18;9.97;9.97;38.81;37.81;57.63;52.96;17.23;10.11;97.41;88.20;-;96.03;57.09;59.46
Jan 1, 2026 3:00 PM;Jan 1, 2026 4:00 PM;3.51;52.07;50.27;15.17;15.17;47.53;54.80;62.13;83.05;24.88;15.17;103.20;101.36;-;105.10;82.99;88.91
Jan 1, 2026 4:00 PM;Jan 1, 2026 5:00 PM;10.34;63.11;73.82;23.56;23.41;68.79;69.77;65.06;83.10;43.57;23.15;110.04;109.99;-;111.46;91.08;104.04
Jan 1, 2026 5:00 PM;Jan 1, 2026 6:00 PM;21.80;68.04;81.53;32.25;30.42;75.99;85.60;66.85;85.03;39.67;29.91;111.81;109.35;-;120.00;92.72;103.38
Jan 1, 2026 6:00 PM;Jan 1, 2026 7:00 PM;23.13;67.18;88.24;26.26;24.95;82.33;77.96;68.28;88.00;37.76;24.71;112.43;108.07;-;120.32;94.81;103.75
Jan 1, 2026 7:00 PM;Jan 1, 2026 8:00 PM;18.09;66.42;89.25;24.11;22.99;82.16;73.80;67.38;86.80;37.54;22.79;113.79;109.99;-;120.41;93.97;103.44
Jan 1, 2026 8:00 PM;Jan 1, 2026 9:00 PM;10.04;62.50;75.88;22.27;21.34;71.16;67.57;65.95;85.04;23.99;21.20;113.09;119.99;-;118.95;93.73;104.33
Jan 1, 2026 9:00 PM;Jan 1, 2026 10:00 PM;8.95;59.45;69.15;31.03;17.63;64.89;61.20;64.33;83.06;23.81;17.58;111.27;109.99;-;115.00;86.63;90.73
Jan 1, 2026 10:00 PM;Jan 1, 2026 11:00 PM;7.37;55.59;69.13;29.64;10.96;64.39;61.81;62.98;82.91;7.93;11.11;110.70;99.99;-;109.28;82.17;81.52
Jan 1, 2026 11:00 PM;Jan 2, 2026 12:00 AM;0.29;46.14;57.55;32.65;6.69;52.30;47.79;59.37;62.01;0.26;6.95;109.01;73.03;-;97.88;62.08;61.15
Jan 2, 2026 12:00 AM;Jan 2, 2026 1:00 AM;9.68;39.99;30.00;15.54;14.41;26.89;28.10;60.98;63.27;-0.29;14.40;103.00;83.55;-;102.73;60.34;62.11
Jan 2, 2026 1:00 AM;Jan 2, 2026 2:00 AM;3.01;33.12;34.68;13.52;11.27;25.68;16.63;55.34;36.11;-0.76;11.27;98.00;62.56;-;95.05;41.75;47.16
Jan 2, 2026 2:00 AM;Jan 2, 2026 3:00 AM;1.81;30.90;33.84;15.00;9.81;22.90;15.00;48.42;35.90;-0.36;9.81;97.31;52.28;-;92.30;35.74;36.62
Jan 2, 2026 3:00 AM;Jan 2, 2026 4:00 AM;0.25;26.08;28.77;8.82;7.49;17.31;8.82;38.23;25.57;-0.17;7.51;95.10;49.39;-;90.10;28.43;30.20
Jan 2, 2026 4:00 AM;Jan 2, 2026 5:00 AM;1.73;27.45;26.10;10.00;7.56;17.51;10.00;39.71;29.23;0.06;7.60;95.10;59.12;-;90.00;33.16;35.59
Jan 2, 2026 5:00 AM;Jan 2, 2026 6:00 AM;12.00;34.98;15.11;15.56;15.09;18.37;15.56;43.41;76.02;-0.35;15.07;95.04;75.95;-;91.66;65.26;65.79
Jan 2, 2026 6:00 AM;Jan 2, 2026 7:00 AM;21.80;48.57;27.96;26.07;23.44;31.06;29.85;54.53;76.07;38.58;23.16;104.00;99.57;-;105.45;74.74;80.42
Jan 2, 2026 7:00 AM;Jan 2, 2026 8:00 AM;50.97;74.68;74.77;51.56;50.95;67.51;53.71;63.00;99.92;78.09;44.30;112.00;125.70;-;112.82;98.84;102.20
Jan 2, 2026 8:00 AM;Jan 2, 2026 9:00 AM;68.87;84.25;91.42;68.87;68.86;83.09;77.07;71.15;91.63;83.78;60.92;113.92;116.03;-;120.65;94.68;97.04
Jan 2, 2026 9:00 AM;Jan 2, 2026 10:00 AM;71.20;85.84;95.12;71.20;71.20;89.50;92.00;73.02;88.81;81.70;66.78;111.50;103.44;-;119.49;90.70;91.57
Jan 2, 2026 10:00 AM;Jan 2, 2026 11:00 AM;57.89;78.82;101.99;59.18;57.89;88.64;71.00;70.77;82.66;72.45;57.79;102.61;101.99;-;110.43;85.32;86.17
Jan 2, 2026 11:00 AM;Jan 2, 2026 12:00 PM;55.93;76.26;96.43;56.93;55.93;84.64;67.21;69.75;81.10;70.86;55.74;98.37;101.95;-;103.98;83.91;85.07
Jan 2, 2026 12:00 PM;Jan 2, 2026 1:00 PM;58.00;73.57;88.94;58.00;58.00;80.16;58.00;68.99;77.86;70.09;56.62;97.77;94.87;-;98.50;80.16;81.20
Jan 2, 2026 1:00 PM;Jan 2, 2026 2:00 PM;66.95;76.48;69.29;66.95;66.94;70.65;68.54;70.91;82.70;82.52;64.91;95.83;101.99;-;96.00;84.95;87.22
Jan 2, 2026 2:00 PM;Jan 2, 2026 3:00 PM;70.12;80.33;72.88;70.12;70.12;74.46;72.06;73.30;88.50;85.55;67.76;98.00;110.94;-;99.55;91.12;93.74
Jan 2, 2026 3:00 PM;Jan 2, 2026 4:00 PM;77.50;89.89;81.16;77.50;77.50;83.08;80.52;77.43;100.57;99.34;76.15;106.80;128.70;-;109.96;103.86;107.13
